[40683] sync 0x08 reg 1 | screens ok 1 fail 0 | drv s=1 txErr 0 rxErr 0 busErr 0 qTx 0

===== WIRE DUMP: 213 frames seen, ring holds 120 =====
   first    last   xN dir  id  data
   37555   37555    1  TX 3AF  B9 00 00 00 00 00 00 00
   37877   37877    1  RX 3CF  69 00 A3 A3 A3 A3 A3 A3
   38055   38055    1  TX 3AF  B9 00 00 00 00 00 00 00
   38383   38383    1  RX 3CF  69 00 A3 A3 A3 A3 A3 A3
   38555   38555    1  TX 3AF  B9 00 00 00 00 00 00 00
   38885   38885    1  RX 3CF  69 00 A3 A3 A3 A3 A3 A3
   39055   39055    1  TX 3AF  B9 00 00 00 00 00 00 00
   39389   39389    1  RX 3CF  69 00 A3 A3 A3 A3 A3 A3
   39555   39555    1  TX 3AF  B9 00 00 00 00 00 00 00
   39893   39893    1  RX 3CF  69 00 A3 A3 A3 A3 A3 A3
   40055   40055    1  TX 3AF  B9 00 00 00 00 00 00 00
   40397   40397    1  RX 3CF  69 00 A3 A3 A3 A3 A3 A3
   40555   40555    1  TX 3AF  B9 00 00 00 00 00 00 00
   40901   40901    1  RX 3CF  69 00 A3 A3 A3 A3 A3 A3
   41055   41055    1  TX 3AF  B9 00 00 00 00 00 00 00
   41405   41405    1  RX 3CF  69 00 A3 A3 A3 A3 A3 A3
   41555   41555    1  TX 3AF  B9 00 00 00 00 00 00 00
   41909   41909    1  RX 3CF  69 00 A3 A3 A3 A3 A3 A3
   42055   42055    1  TX 3AF  B9 00 00 00 00 00 00 00
   42413   42413    1  RX 3CF  69 00 A3 A3 A3 A3 A3 A3
   42555   42555    1  TX 3AF  B9 00 00 00 00 00 00 00
   42917   42917    1  RX 3CF  69 00 A3 A3 A3 A3 A3 A3
   43055   43055    1  TX 3AF  B9 00 00 00 00 00 00 00
   43421   43421    1  RX 3CF  69 00 A3 A3 A3 A3 A3 A3
   43555   43555    1  TX 3AF  B9 00 00 00 00 00 00 00
   43925   43925    1  RX 3CF  69 00 A3 A3 A3 A3 A3 A3
   44055   44055    1  TX 3AF  B9 00 00 00 00 00 00 00
   44429   44429    1  RX 3CF  69 00 A3 A3 A3 A3 A3 A3
   44555   44555    1  TX 3AF  B9 00 00 00 00 00 00 00
   44933   44933    1  RX 3CF  69 00 A3 A3 A3 A3 A3 A3
   45055   45055    1  TX 3AF  B9 00 00 00 00 00 00 00
   45437   45437    1  RX 3CF  69 00 A3 A3 A3 A3 A3 A3
   45555   45555    1  TX 3AF  B9 00 00 00 00 00 00 00
===== END WIRE DUMP =====

[46152] sync 0x08 reg 1 | screens ok 1 fail 0 | drv s=1 txErr 0 rxErr 0 busErr 0 qTx 0
[51153] sync 0x08 reg 1 | screens ok 1 fail 0 | drv s=1 txErr 0 rxErr 0 busErr 0 qTx 0
[56154] sync 0x08 reg 1 | screens ok 1 fail 0 | drv s=1 txErr 0 rxErr 0 busErr 0 qTx 0
[61155] sync 0x0A reg 1 | screens ok 1 fail 0 | drv s=1 txErr 0 rxErr 0 busErr 0 qTx 0
[66156] sync 0x0A reg 1 | screens ok 1 fail 0 | drv s=1 txErr 0 rxErr 0 busErr 0 qTx 0

