Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
15849844,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
15923376,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
16353729,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
16423496,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
16857868,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
16923684,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
17361566,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
17423837,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
17865621,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
17923909,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
18369622,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
18423962,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
18873527,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
18924253,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
19377485,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
19424416,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
19881464,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
19924440,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
20385424,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
20424606,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
20889360,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
20924820,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
21393337,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
21424905,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
21897346,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
21925034,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
22402674,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
22425198,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
22905222,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
22925291,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
23409019,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
23425620,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
23913012,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
23927750,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
24417014,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
24425623,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
24921119,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
24925950,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
25424951,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
25425991,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
25926178,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
25928994,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
26426240,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
26432874,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
26926471,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
26936689,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
27426562,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
27440750,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
27926721,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
27945196,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
28426815,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
28448788,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
28926892,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
28952669,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
29427115,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
29456581,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
