Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
11442319,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
11466308,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
11946309,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
11966554,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
12450394,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
12466756,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
12954202,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
12966859,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
13458238,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
13466914,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
13964809,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
13967173,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
14467249,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
14467274,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
14970061,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
14970098,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
15467557,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
15474144,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
15967749,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
15978113,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
16467889,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
16481985,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
16492901,00000151,false,Rx,0,8,10,0E,77,15,55,FF,60,01,
16493949,00000551,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
16494593,00000151,false,Rx,0,8,21,4D,20,20,35,33,31,20,
16497446,00000551,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
16497465,00000151,false,Rx,0,8,22,20,00,00,00,00,00,00,
16497471,00000551,false,Rx,0,8,74,A3,A3,A3,A3,A3,A3,A3,
16968045,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
16985956,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
17468089,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
17489819,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
17968353,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
17993850,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
18468433,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
18497931,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
18968526,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
19001663,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
19471304,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
19505767,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
19968835,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
20009752,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
20469067,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
20513597,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
20969132,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
21017467,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
