Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
22908838,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
23363791,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
23408977,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
23867684,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
23909258,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
24371701,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
24409219,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
24875641,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
24909540,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
25379654,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
25409518,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
25883600,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
25909739,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
26387578,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
26409846,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
26891502,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
26910464,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
27395361,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
27410031,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
27899451,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
27910386,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
28403321,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
28410367,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
28907333,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
28910503,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
29410627,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
29411383,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
29911416,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
29915146,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
30411016,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
30419052,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
30911088,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
30923115,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
31411288,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
31426898,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
31911453,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
31931039,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
32411545,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
32434968,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
32911750,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
32938939,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
33411798,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
33442833,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
33911972,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
33946770,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
34412132,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
34450744,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
34912366,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
34954975,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
35412398,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
35458807,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
35912506,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
35963439,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
