Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
6663697,000003CF,false,Rx,0,8,61,11,00,A3,A3,A3,A3,A3,
6769759,000003CF,false,Rx,0,8,61,11,00,A3,A3,A3,A3,A3,
6871830,000003CF,false,Rx,0,8,61,11,00,A3,A3,A3,A3,A3,
6879709,000003CF,false,Rx,0,8,69,01,A3,A3,A3,A3,A3,A3,
6975864,000003CF,false,Rx,0,8,61,11,00,A3,A3,A3,A3,A3,
7079711,000003CF,false,Rx,0,8,61,11,00,A3,A3,A3,A3,A3,
7183819,000003CF,false,Rx,0,8,61,11,00,A3,A3,A3,A3,A3,
7289148,000003CF,false,Rx,0,8,61,11,00,A3,A3,A3,A3,A3,
7383816,000003CF,false,Rx,0,8,69,01,A3,A3,A3,A3,A3,A3,
7391722,000003CF,false,Rx,0,8,61,11,00,A3,A3,A3,A3,A3,
7424181,000003AF,false,Rx,0,8,BA,00,00,00,00,00,00,00,
7445744,000003AF,false,Rx,0,8,B9,01,00,00,00,00,00,00,
7490839,000003AF,false,Rx,0,8,BA,00,00,00,00,00,00,00,
7495822,000003CF,false,Rx,0,8,61,11,00,A3,A3,A3,A3,A3,
7526786,000003AF,false,Rx,0,8,B0,14,11,00,1F,00,00,00,
7528156,000001C1,false,Rx,0,8,70,A3,A3,A3,A3,A3,A3,A3,
7528440,000005C1,false,Rx,0,8,74,00,00,00,00,00,00,00,
7557684,000003AF,false,Rx,0,8,B0,14,11,00,1F,00,00,00,
7588723,000003AF,false,Rx,0,8,B0,14,11,00,1F,00,00,00,
7588801,00000151,false,Rx,0,8,70,00,00,00,00,00,00,00,
7589101,000001F1,false,Rx,0,8,70,00,00,00,00,00,00,00,
7592003,00000551,false,Rx,0,8,74,A3,A3,A3,A3,A3,A3,A3,
7592016,000005F1,false,Rx,0,8,74,A3,A3,A3,A3,A3,A3,A3,
7887575,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
7945842,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
7989950,00000151,false,Rx,0,8,03,52,09,00,00,00,00,00,
7990605,00000551,false,Rx,0,8,74,A3,A3,A3,A3,A3,A3,A3,
7996024,000001C1,false,Rx,0,8,02,64,0F,A3,A3,A3,A3,A3,
7996385,000005C1,false,Rx,0,8,74,00,00,00,00,00,00,00,
8006325,00000151,false,Rx,0,8,02,54,01,00,00,00,00,00,
8006952,00000551,false,Rx,0,8,74,A3,A3,A3,A3,A3,A3,A3,
8010142,00000151,false,Rx,0,8,02,54,03,00,00,00,00,00,
8010788,00000551,false,Rx,0,8,74,A3,A3,A3,A3,A3,A3,A3,
8014413,000001C1,false,Rx,0,8,05,63,30,30,33,31,A3,A3,
8014434,000005C1,false,Rx,0,8,74,00,00,00,00,00,00,00,
8015955,00000151,false,Rx,0,8,10,0E,77,55,55,FF,60,01,
8016644,00000551,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
8023417,000001F1,false,Rx,0,8,11,2E,21,0B,00,25,41,42,
8023708,00000151,false,Rx,0,8,21,20,20,B0,30,30,30,20,
8024164,000005F1,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
8024449,00000551,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
8024760,000001F1,false,Rx,0,8,21,43,44,45,46,00,01,30,
8025588,000005F1,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
8025599,00000151,false,Rx,0,8,22,20,00,00,00,00,00,00,
8026430,00000551,false,Rx,0,8,74,A3,A3,A3,A3,A3,A3,A3,
8026708,000001F1,false,Rx,0,8,22,30,00,00,00,00,00,00,
8027719,000005F1,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
8028724,000001F1,false,Rx,0,8,23,00,00,00,00,00,00,00,
8030088,000005F1,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
8030722,000001F1,false,Rx,0,8,24,00,00,00,00,00,00,38,
8031358,000005F1,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
8034232,000001F1,false,Rx,0,8,25,00,00,00,00,00,66,00,
8034253,000005F1,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
8034259,000001F1,false,Rx,0,8,26,00,00,00,00,43,00,00,
8034266,000005F1,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
8034850,000001F1,false,Rx,0,8,27,00,00,00,41,80,00,00,
8042627,000005F1,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
8043602,000001F1,false,Rx,0,8,28,00,00,40,C0,00,00,00,
8044229,000005F1,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
8044725,000001F1,false,Rx,0,8,29,00,60,60,00,00,00,00,
8045531,000005F1,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
8046708,000001F1,false,Rx,0,8,2A,60,2F,C0,00,00,00,20,
8050593,000005F1,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
8054394,000001F1,false,Rx,0,8,2B,E6,38,00,00,00,23,57,
8054415,000005F1,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
8054724,000001F1,false,Rx,0,8,2C,06,00,00,00,36,53,C1,
8055210,000005F1,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
8055806,000001F1,false,Rx,0,8,2D,00,00,00,18,19,E0,80,
8056289,000005F1,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
8057695,000001F1,false,Rx,0,8,2E,00,00,10,3C,E7,DF,E0,
8059274,000005F1,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
8059744,000001F1,false,Rx,0,8,2F,00,20,3E,FC,30,38,00,
8060389,000005F1,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
8061549,000001F1,false,Rx,0,8,20,20,3E,40,E0,08,00,43,
8062383,000005F1,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
